Ost halloumi rå fett 22%;100;292;21.9;14.9;1.9;0.9;22.3;4.2
Färskost fett 33%;101;343;33;21.4;2.4;2.1;10.2;1.4
Grönmögelost fett 43%;102;429;43;27.9;2.5;2.1;9.6;1.2
Ost hårdost parmesan fett 30%;103;410;29.7;18.2;0;0.9;36.2;1.6
Färskost m. vitlök fett 35%;104;340;35;22.7;3.5;0.4;4;0.6
Camembert vitmögelost fett 11%;105;185;11;7.1;0.2;0.1;21.4;1.5
Mjukost smältost fett ca 22%;106;273;22.4;15.1;8.2;5.4;10.3;2.2
Färskost cream cheese fett 27%;107;276;27.3;18;2.4;2.7;6.1;0.7
Färskost cream cheese lätt fett 15%;108;187;16;10.6;3.4;1.7;7.8;0.4
Färskost cream cheese extra light fett 5%;109;116;5.3;3.4;4.7;2.8;12.2;0.8
Camembert vitmögelost friterad;110;324;21.4;11.8;14.9;0.9;17.6;1.2
Getost chèvre vitmögelost fett 25%;111;345;29;20;1.4;0.4;20.6;1.7
Bröstmjölk humanmjölk;113;68;3.1;1.2;8.7;7.2;1.3;0
Filmjölk fett 3% berikad;114;57;2.8;1.8;4.6;3.8;3.3;0.1
Kondenserad mjölk konserv. fett ca 8%;115;136;7.6;4.9;10;10;6.8;0.3
Kondenserad mjölk konserv. konc. m. socker fett ca 9%;116;331;8.7;5.6;54.6;55;7.9;0.3
Mjölkpulver fett 1%;118;365;0.8;0.5;52;51;36.2;1.3
Filmjölk långfil fett 3% berikad;119;60;3;2;4.8;3.8;3.4;0.1
Lättfil fett 0,5% berikad;120;39;0.5;0.3;5;4;3.5;0.1
Milkshake choklad jordgubb;122;84;3.6;1;10.9;10.6;2;0.1
Mjölk fett 3% berikad;123;60;3;1.9;4.7;4.8;3.5;0.1
Yoghurt naturell fett 3%;124;56;2.7;1.8;4.5;2.9;3.4;0.1
Fruktyoghurt fett 2,5%;125;97;2.5;1.6;15;14.5;3.3;0.1
Fruktyoghurt lätt fett 0,5%;126;76;0.5;0.3;14.3;14.2;3;0.1
Mjölk fett 4,2% typ lantmjölk;127;70;4.2;2.7;4.8;4.7;3.4;0.1
Filmjölk A-fil fett 3% berikad;128;60;3;2;4.8;3.8;3.4;0.1
Mellanfil fett 1,5% berikad;130;48;1.5;1;5;3.8;3.5;0.1
Mjölkdryck jordgubb fett 1,5% berikad;133;50;1.7;1.1;5.2;7.3;3.3;0.1
Yoghurt naturell lätt fett 0,5% berikad;135;42;0.5;0.3;5.5;3.2;3.9;0.1
Fruktyoghurt fett 2%;136;93;2;1.3;15;14.5;3.3;0.1
Fruktyoghurt delikatessyoghurt fett 7%;137;129;7;4.6;14;14;2.5;0.1
Fruktyoghurt lätt fett<0,05%;138;52;0;0;8.8;9.8;3.8;0.1
Fruktyoghurt fett 5%;139;127;5.1;3.4;14.6;13.5;5.6;0.1
Fruktyoghurt fett 1,3%;140;93;1.4;0.9;13;12.7;7;0
Kefir fett 3% berikad;142;60;3;2;4.8;3.8;3.4;0.1
Yoghurt mild vanilj lätt fett 0,5%  ;147;61;0.5;0.3;9.9;8.6;4.1;0.1
Mellanmjölk fett 1,5% berikad;150;47;1.5;1;4.8;4.9;3.6;0.1
Lättmjölk fett 0,5% berikad;151;39;0.5;0.3;4.8;4.9;3.6;0.1
Vassle flytande;152;25;0.1;0.1;5.1;5.1;0.8;0.1
Filbunke m. grädde;154;66;3.5;2.3;4.8;4.8;3.6;0.1
Varm choklad m. mjölk fett 3%;156;85;3.1;2;10.4;10.1;3.8;0.1
Varm choklad m. mjölk fett 1,5%;157;72;1.7;1;10.5;10.2;3.8;0.1
Varm choklad m. mjölk fett 0,5%;158;65;0.7;0.4;10.5;10.2;3.9;0.1
Hårt bröd fullkorn råg fibrer 15,5% typ Husman;162;354;2.5;0.3;64.4;1.4;10;1
Hårt bröd fullkorn råg fibrer ca 18% typ Ryvita mörkt;163;349;2.5;0.3;57.6;1.8;14.6;0.8
Hårt bröd fullkorn vete m. vallmofrö fibrer 5,5%;164;398;7.1;0.6;68.9;5.5;11.1;1.1
Hårt bröd fullkorn råg fibrer 14,5% typ Vika;165;345;2.4;0.3;63.3;2.2;9.6;1.6
Hårt bröd fullkorn råg fibrer 16% typ Finn crisp;166;348;2;0.3;62.8;3.2;11.1;1.5
Hårt bröd fullkorn råg fibrer ca 15% typ flatbröd;167;362;2;0.3;68;4.5;9.5;0.5
Hårt bröd glutenfritt fibrer ca 7%;168;346;2;0.1;71.1;7.6;6.3;1.4
Hårt bröd fullkorn råg fibrer ca 13%;169;353;2.6;0.5;65.7;2.7;9.3;1.4
Hårt bröd fullkorn råg kli fibrer ca 15%;170;349;2.5;0.3;63.9;2.6;9.5;1.4
Hårt bröd fullkorn råg fibrer ca 14% typ rutknäcke;171;356;2.6;0.4;65.3;1.2;10;1.2
Hårt bröd fullkorn råg fibrer 15,5% typ brungräddat;172;350;2.4;0.3;63.5;1.4;10;1.5
Hårt bröd fullkorn råg fibrer ca 16% typ sport;173;341;1.9;0.3;62.1;1.3;10;1.2
Hårt bröd fullkorn råg m. sesamfrö vetekli vetegroddar fibrer 24%;174;355;8.2;1;45.3;2.4;13;1.5
Hårt bröd fullkorn råg fibrer 15,5% typ delikatess;175;351;2;0.3;64.7;2.5;10;1.2
Hårt bröd fullkorn havre vete råg m. mjölk fibrer 8%;178;379;6.8;1;61.7;3.1;13;1.2
Hårt bröd vete m. vallmofrö fibrer 6% typ frukost;180;406;8.5;1.7;67.7;4.2;11;1
Hårt bröd vete m. socker kanel fibrer ca 7%;181;398;7.8;1.8;67.7;12.8;10;1
Hårt bröd glutenfritt fibrer ca 3%;182;385;6.5;2.3;69.1;3.8;10;2
Hårt bröd fullkorn vete havre kli m. socker örtkryddor fibrer 10,5%;183;390;8.4;2.2;60.9;8.2;12;0.2
Bröd fullkorn korn fibrer 3%;185;239;5;2.2;40.2;6.4;6.3;0.9
Bröd vitt fullkorn graham typ scones;186;285;10.8;5.3;38.1;2.2;6.3;1.4
Bröd fullkorn råg fibrer ca 10% typ pumpernickel;187;221;1.6;0.2;40.8;3.5;5.4;0.9
Ströbröd malt hårt bröd fullkorn vete råg socker fibrer ca 5%;188;402;8.6;0.8;65.6;4.7;10.3;1.1
Hårt bröd fullkorn råg fibrer ca 14% typ normalgräddat;190;349;2;0.3;66;1.2;9.1;1.2
Hårt bröd fullkorn råg vete majs m. surdeg fibrer 15% typ spisbröd;191;335;1.8;0.2;63.4;0.6;8.3;2.8
Bröd vitt vete vatten fibrer ca 3,5% typ pitabröd;193;274;1.6;0.3;53.6;1.8;8.6;1.2
Korvbröd;194;285;4.1;0.8;51.2;6;8.1;0.7
Hårt bröd fullkorn råg fibrer ca 14% typ brungräddat;195;354;2.6;0.4;65.5;1.2;9.1;1.2
Bröd vitt osötat fibrer ca 2,5% typ italienskt;198;256;1.4;0.3;50.2;2.3;8.6;1.2
Bröd vitt vete fibrer ca 2,5% typ baguette;200;270;1.7;0.2;53.2;3.6;8.5;1
Bröd vitt fullkorn surdeg fibrer 4,4% bakad i butik typ grov baguette;201;260;1.2;0.2;51.7;5.5;7.6;1.3
Bröd vitt fibrer 3,5%;202;284;6.4;0.5;46;6;8;0.7
Bröd vitt mjölk fibrer ca 3% typ Hönökaka;204;293;3.1;0.6;56.7;8.4;7.4;0.5
Bröd vitt vete typ scones;205;287;11.1;5.4;38.1;2.2;6.5;1.4
Bröd vitt vete ojäst fibrer 3% typ chapati;206;257;5.3;0.5;44.3;0.8;5.6;1.2
Bröd fullkorn rågsikt fibrer ca 7% typ kavring;207;270;4.7;0.5;47.3;10.8;5.5;0.7
Bröd osötat rågsikt fibrer ca 3,5%;208;261;3.2;0.6;47.3;2.1;8.4;1
Bröd rågsikt fibrer ca 4%;209;266;2.3;0.4;51.4;8;7.1;0.8
Bröd fullkorn graham m. mjölk fibrer ca 5%;210;279;5.2;1;46.1;1.9;8.9;1.2
Bröd fullkorn råg typ rallarhalvor;213;246;2.1;0.3;46.1;3.7;5.9;1.2
Bröd fullkorn råg osötat fibrer ca 5%;214;239;1.6;0.2;46.1;4.3;7.1;0.8
Hårt bröd tunnbröd fullkorn vete råg korn havre;216;353;3.5;0.7;68.9;2.6;10.1;0.8
Bröd vitt mjukt m. mjölk fibrer ca 4% typ tunnbröd;217;280;3.1;0.5;52.4;8.4;8;1
Bröd fullkorn råg m. potatis fibrer ca 5% ;219;258;1.4;0.2;52.4;12.2;5.7;1.4
Bröd vitt vatten fibrer ca 3% typ ostfralla;222;274;3.4;0.7;47.2;3;11.5;1.2
Riskaka fullkorn solrosfrön majs fett 4% ;224;394;4.4;0.7;77.4;0.6;7.9;0.3
Riskaka fullkorn smaksatt fett 18% ;225;461;18.1;2.1;65.8;3.3;7;1.6
Bröd vitt glutenfritt;226;238;3.6;1;47.3;3.7;1.8;1
Bröd mörkt glutenfritt;227;269;6.8;0.9;46.2;3.9;2.6;1
Bröd vitt typ croissant fransk giffel;229;363;21.7;10.8;36.5;6.2;5.1;1.2
Potatis höst rå;230;81;0.1;0;16.8;0.6;1.8;0
Potatis höst kokt m. salt;231;85;0.1;0;17.8;0.5;1.9;0.2
Potatis m. skal bakad u. salt;233;91;0.1;0;19.4;0.6;1.7;0
Potatis m. skal bakad u. salt i aluminiumfolie ;234;89;0.6;0.1;18.1;0.5;1.5;0
Potatis tärnad frysvara;235;81;0.1;0;17.3;0.8;1.7;0.1
Potatis konserv. u. lag;237;60;0.1;0;12.2;0.3;1.3;0.6
Klyftpotatis u. skal ugnsstekt m. rapsolja;238;120;1.6;0.1;23.1;0.7;2.2;0.3
Potatis råstekt;241;139;4.6;0.4;20.7;0.7;2.2;0.9
Potatis kokt stekt m. salt;242;143;4.6;0.4;21.8;0.6;2.3;1.1
Pommes frites friterad potatis värmd i ugn fett ca 7% frysvara;244;216;7.6;2.8;32;0.4;3.2;0
Pommes frites friterad potatis fett ca 11% frysvara;245;243;11.4;3.4;30.6;0.5;3;0
Pommes frites friterad potatis fett ca 17% tillagad på restaurang;246;307;17.5;3.1;32.6;0.4;3.5;0.4
Kroppkakor el. potatispalt m. fläsk;248;169;5.7;2.5;22.8;0.6;5.7;1
Sjömansbiff hemlagad;250;90;2.6;1;9.2;1.2;6.8;0.8
Lapskojs;252;110;4.1;2;12.5;0.4;4.9;0.9
Pitepalt;253;180;6;2.4;25.1;0.5;4.8;1.4
Bakad potatis m. kycklingcurryröra sallad;254;156;12.2;1.3;7.1;1;3.3;0.3
Pytt i panna tillagad frysvara;255;196;8.8;2;23.3;1.8;4.5;1.6
Sjömansbiff frysvara;256;84;2.3;0.9;8.6;0.2;6.7;1.2
Janssons frestelse;257;170;10.7;6;14.1;2.4;3.6;0.9
Laxpudding;258;111;4.1;1.2;9.6;2.3;8.2;1.2
Sillpudding;259;125;6.2;1.8;9.1;1.9;7.6;0.9
Bakad potatis m. skagenröra sallad;260;159;10.8;1.7;11.2;1.2;3.1;0.4
Potatissallad m. gräddfil majonnäs;261;155;9.8;1.7;14.2;0.8;1.9;1.3
Potatissoppa m. purjolök;262;49;1.8;0.7;6.6;0.8;1;1
Pytt i panna m. rotfrukt svamp veg.;263;81;3.1;0.3;10;3.3;1.8;0.4
Potatissallad m. vinägrettsås;264;112;4.8;0.3;14.5;0.8;1.7;0.5
Potatismospulver berikad;265;362;4.3;0.6;68.2;5.7;8.2;2.6
Potatispalt;266;141;1.7;0.5;23.8;0.4;4.8;0.6
Potatis råstuvad hemlagad;268;78;1.2;0.6;14;1.8;2.2;1
Potatisgratäng m. mjölk kaffegrädde ost hemlagad;270;139;5.9;3.6;15;1.7;5.7;1.1
Raggmunk potatisplätt potatispannkaka hemlagad;271;149;5.5;2.2;20;2.4;4.2;0.8
Potatis stuvad;272;94;2.5;0.9;14.4;2.2;2.7;0.6
Potatisbullar stekta;273;166;6.2;0.8;22.1;0.8;4;1
Potatismos hemlagad;274;89;2.2;0.5;14.1;1.7;2.3;0.8
Potatisgratäng m. mjölk ost hemlagad;275;106;3.1;2;13.5;2.5;5;0.8
Potatisgratäng m. vispgrädde ost;277;214;15.9;10.2;12.9;1.7;4.4;0.8
Potatismos m. lättmjölk;278;86;1.9;0.3;14.1;1.7;2.3;0.8
Potatisgratäng m. lättmjölk ost mager hemlagad;279;96;1.8;1.1;13.5;2.5;5.4;0.8
Bakad potatis m. färskoströra paprika veg.;280;93;0.9;0.4;15.8;0.9;4;0.4
Schweizisk potatiskaka rösti värmd frysvara;281;214;11.4;5.4;23.4;0.6;2.4;1.3
Potatiskrokett värmd frysvara;282;177;7;2.1;23.9;0.4;2.8;0.9
Potatismos pulver tillagat berikad;283;66;0.8;0.4;12.5;0.9;1.5;0.4
Potatisgratäng m. grädde ost värmd frysvara;284;158;9.4;4.7;13.2;1.9;4.6;0.9
Grönsaksblandning m. morot palsternacka purjolök rotselleri frysvara;286;36;0.5;0.1;5.3;1.9;1.2;0.1
Jordärtskocka;287;67;0.4;0;12.8;3.2;1.9;0
Kålrot;288;37;0.1;0;6.1;6.8;1.4;0
Morot;289;36;0.2;0;6.6;6.2;0.7;0.1
Palsternacka;290;71;0.6;0.1;12.6;6;1.7;0
Pepparrot;291;70;0.3;0;9.5;7.3;3.1;0
Rotselleri;292;32;0.5;0.1;4.4;2.4;1;0.1
Rädisa;293;11;0.4;0.1;0.7;1.4;0.7;0
Rödbeta;294;51;0.1;0;9.8;9.4;1.2;0
Rättika;295;18;0.1;0;2.5;2.2;1;0
Rotpersilja;296;61;0.6;0.1;10.7;3.7;2.3;0
Majrova;297;35;0.3;0;6;3.9;1.1;0
Svartrot;298;75;0.4;0;14.2;3;1.4;0
Morot konserv. m. lag;299;23;0.2;0;3.9;3.4;0.6;0.6
Morot konserv. u. lag;300;23;0.2;0;4;3.8;0.6;0.6
Morotsjuice;301;34;0.4;0.1;6.3;4.7;0.7;0.1
Rotmos hemlagad;302;52;1.3;0.1;8.2;3.6;1;0.4
Jordärtskockssoppa veg. ;304;77;5.5;2.7;4.9;1.8;1.1;0.8
Morot kokt m. salt;305;36;0.2;0;6.6;6.2;0.7;0.5
Morot stuvad;306;81;4.8;1.1;7.1;5.7;1.9;0.7
Morotssoppa veg. ;307;37;1.8;1.1;4.1;2.4;0.7;0.6
Ärtsoppa m. morot veg. ;308;69;0.3;0.1;10.8;1.5;4.3;0.4
Jordärtskocka kokt m. salt;310;67;0.4;0;12.7;3.2;1.9;0.4
Rotfrukter stekta glacerade m. honung;314;94;4.7;1.7;10.4;8.4;1.2;0.6
Grönsaksbiff rotfruktsbiff stekt veg.;315;114;7.4;2.3;5.1;3.2;6.1;1.2
Rödbeta kokt u. salt;316;51;0.1;0;9.8;9.4;1.2;0
Borsjtj rödbetssoppa;317;30;1;0.1;4;3.5;0.7;0.8
Rödbeta inlagd u. lag;319;58;0.1;0;12;12.4;1.3;0.4
Avokado;320;197;19.6;3.4;1.7;0.5;1.9;0
Stjälkselleri;321;13;0.1;0;1.5;1.2;0.7;0.2
Blomkål;322;24;0.2;0;2.6;2.7;1.9;0
Blomkål frysvara;323;24;0.3;0.1;2.3;2.1;2;0
Bondbönor färska kokta u. salt;324;102;1;0.2;9.7;1.1;9;0
Broccoli;325;40;0.6;0.2;2.3;1.9;4.3;0
Broccoli frysvara;326;24;0.3;0;1.8;1.6;2.4;0
Brysselkål;327;44;0.3;0;4.7;2.6;3.4;0
Brysselkål frysvara;328;41;0.4;0.1;3.4;2.3;3.8;0
Mungbönsgroddar;329;34;0.4;0.1;3.2;0.8;3;0
Sojabönsgroddar;330;146;6.7;0.8;7;0.4;13.1;0
Gröna bönor;331;27;0.4;0.1;2.1;2.2;2.1;0
Gröna bönor frysvara;332;35;0.2;0.1;4.5;1.6;2.2;0
Champinjon;333;27;0.2;0;2.7;0.1;2.4;0
Friséesallat;334;15;0.2;0;1;0.9;1.2;0.1
Endivesallat;335;14;0.1;0;1.1;0.9;1;0
Fänkål;336;28;0.4;0.1;1.8;2.6;2.8;0
Grönkål;337;40;0.7;0;3.2;2.1;3.4;0
Grönkål frysvara;338;30;0.5;0.1;2.3;1.1;2.7;0
Gurka;339;13;0;0;2.3;1.7;0.8;0
Isbergssallat;340;14;0.1;0;2.5;2.2;0.8;0
Kronärtskocka;342;52;0.2;0;7.3;2.6;2.7;0.2
Kålrabbi;343;29;0.1;0;4.4;2.9;1.7;0
Lök gul;344;39;0.1;0;7.3;4.5;1.2;0
Majskolv;345;125;1.6;0.2;22.1;3.3;3.9;0
Majskolv frysvara;346;111;0.8;0.1;21.5;1.7;3.3;0
